TR37,TR7,TR2,TR100,TR101,TR200
25.95280457,33.22257233,36.23355865,160.5384674,30.1844635,153.0788269
25.966362,33.14118958,36.12505722,160.5520172,30.19802094,153.0516968
26.12234116,33.12763214,36.03011322,160.5791626,30.15055084,152.9567413
26.30544281,33.10050201,35.89447784,160.5791473,30.11664581,152.9160614
26.37325287,33.14118958,35.82666779,160.5655975,30.10308075,152.8075562
26.48175812,33.14118958,35.93517303,160.5113373,30.19802094,152.7397156
26.08843422,33.11406708,35.9758606,160.4842072,30.1844635,152.7261658
25.83073425,33.20900726,36.04367065,160.5655975,30.17089844,152.7397156
25.26108551,33.10050201,36.07080078,160.5927124,30.19802094,152.7532959
24.66431427,32.9513092,36.07080078,160.5248871,30.13021088,152.6719208
24.43374634,32.89705658,35.93517303,160.5655975,30.06239319,152.6990356
24.08110809,32.70717621,35.79953766,160.5791473,29.81826019,152.6312256
24.02685547,32.44947815,35.63677979,160.5927124,29.66906738,152.6312256
23.93191528,32.35453796,35.25701904,160.4299622,29.41136742,152.5498352
24.06754112,32.20534515,35.04000854,160.3757172,29.3571167,152.5498352
24.14891815,32.02902222,34.87725067,160.6741028,29.12654114,152.6176758
24.42017937,31.79845428,34.4703598,160.7418976,28.99091148,152.4684753
24.70500946,31.70351601,34.40254974,160.7690125,28.97734833,152.4277802
25.53234863,31.58144379,34.29404449,160.836853,28.90953064,152.4820251
25.77648163,31.55432129,34.26691437,160.891098,28.95022583,152.5091553
26.22406006,31.83914185,34.51104736,160.8232727,29.07229042,152.4413452
26.41394806,32.05615234,34.75518799,160.7554779,29.20792389,152.4684753
26.45463371,32.23246765,34.91793823,160.6876373,29.2892971,152.5091553
26.49532318,32.36810303,35.06713867,160.7147675,29.43848991,152.6040955
26.34613037,32.7749939,35.37908173,160.6605225,29.56056213,152.5769653
26.23762512,32.9513092,35.62321854,160.6469574,29.65550232,152.6448059
25.9889679,32.94678879,35.74528503,160.5113373,29.78209114,152.626709
25.84429932,32.99199677,35.92160797,160.5248871,29.81826019,152.6448059
25.7900486,33.10050201,35.86735535,160.5248871,29.7504425,152.6448059
25.85785675,32.96487427,35.82666779,160.5520172,29.73687553,152.6312256
25.84429932,32.88349152,35.7859726,160.5248871,29.76400757,152.6312256
25.85785675,32.88349152,35.82666779,160.6198578,29.65550232,152.5769653
25.9392395,32.8699379,35.85379028,160.6469574,29.65550232,152.5498352
