TR37,TR7,TR2,TR100,TR101,TR200
26.41394806,33.98210144,36.47769165,172.5281372,31.55432129,150.8544769
26.44107246,34.51104736,36.43700409,177.9940186,32.17821503,151.2478027
26.49532318,35.70460129,36.51837921,182.7139587,32.99199677,151.6275635
26.59026337,36.26068115,36.6133194,184.5042572,33.42601776,152.0615845
26.61739349,36.55906677,36.70825958,185.589325,33.84647369,152.3328247
26.60382843,36.85745239,36.99308777,186.4166565,34.14485168,152.8075562
26.63095093,37.06089783,36.95240021,186.9049377,34.4432373,153.0652466
26.72588921,37.50847626,37.10159302,187.2846985,34.60599518,153.0652466
26.7937088,37.46778107,37.37284088,183.2700348,34.41610718,152.4142151
26.82083893,37.07446289,37.27790833,174.4676666,33.35820007,152.387085
26.72588921,36.73538971,37.34572983,172.3789673,33.1683197,152.6176758
26.7665863,36.3420639,37.1965332,169.6256561,32.72074127,152.6990356
26.72588921,35.81310272,37.12871552,167.5640869,32.36810303,152.9567261
26.88865089,35.37908173,37.06089783,166.8317261,32.17821503,153.0516968
27.02428436,35.27058411,37.10159302,168.0523529,32.01545715,152.6176758
27.2548542,35.2027626,36.99308777,174.5625763,32.42234802,152.1700745
27.34979248,35.39264679,37.07446289,179.8250427,32.99199677,152.3328247
27.43117523,36.12505722,37.18296814,183.2565002,33.56164551,152.6448059
27.34979248,36.73538971,37.18296814,185.277359,34.11772537,152.9431763
27.36335754,37.08802795,37.38640213,185.9690552,34.32116699,153.1873169
27.45829773,37.52203751,37.50847626,186.9049377,34.6873703,153.2958374
27.41761017,37.87467194,37.63053894,187.5559387,34.98575592,153.6213226
27.44473267,38.09168243,37.888237,188.0713196,35.27058411,153.9468384
27.36335754,38.29512787,37.94249344,188.3426056,35.5147171,154.0960236
27.28198242,38.67489624,38.03742981,188.5867462,35.69103241,154.3808594
27.13278198,38.7155838,38.22731018,188.7766266,35.82666779,154.5707245
27.13278198,38.87834167,38.32225418,188.8986816,35.90804291,154.6385651
27.0107193,38.64776611,38.45788574,187.2168732,35.89447784,153.7976379
26.84795952,38.39006805,38.52570343,180.7744446,35.09426117,153.4992676
26.82083893,38.07811737,38.24087524,175.5662537,34.26691437,153.2958374
26.92933655,37.11514664,38.07811737,172.0941467,33.7108345,153.2958374
27.0378418,36.54551315,37.56272125,170.8192139,33.42601776,153.6077576
27.14634514,36.31493378,37.38640213,168.8796997,32.99199677,153.6620026
27.33622742,35.7588501,37.53559875,167.631897,32.68004608,153.7705231
27.49897766,35.47402954,37.27790833,166.6689453,32.49016571,153.8790131
27.55323029,35.35195923,37.16940308,166.0179138,32.38166046,153.9332733
27.59391785,35.2027626,37.18296814,165.5974426,32.27315521,154.0146637
